,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
61164568,0.03,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.39,0.0,0.03,0.0,0.0,0.28,0.08,8
61354978,0.0,0.05,0.01,0.0,0.05,0.19,0.0,0.53,0.15,0.0,0.02,0.01,0.0,0.0,0.0,7
61389829,0.0,0.03,0.0,0.0,0.06,0.37,0.0,0.0,0.0,0.39,0.08,0.0,0.0,0.08,0.0,9
61422248,0.31,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.08,0.0,0.01,0.0,0.18,0.2,0.03,0
61435280,0.03,0.0,0.0,0.0,0.03,0.24,0.0,0.11,0.05,0.02,0.27,0.0,0.0,0.15,0.09,10
61438889,0.05,0.0,0.01,0.0,0.0,0.07,0.0,0.06,0.8,0.0,0.0,0.0,0.0,0.0,0.01,8
61453500,0.0,0.0,0.0,0.0,0.4,0.11,0.0,0.2,0.06,0.16,0.02,0.01,0.01,0.02,0.0,4
61468129,0.01,0.0,0.0,0.0,0.0,0.23,0.0,0.19,0.44,0.0,0.01,0.0,0.01,0.0,0.12,8
61480300,0.01,0.19,0.08,0.0,0.08,0.29,0.02,0.12,0.06,0.01,0.01,0.05,0.01,0.0,0.08,5
61504413,0.01,0.0,0.0,0.0,0.28,0.28,0.0,0.15,0.0,0.22,0.0,0.0,0.01,0.0,0.05,4
61539280,0.11,0.01,0.0,0.0,0.01,0.16,0.0,0.06,0.03,0.19,0.05,0.0,0.0,0.08,0.3,14
61597668,0.03,0.0,0.0,0.0,0.0,0.33,0.0,0.07,0.0,0.0,0.5,0.06,0.0,0.0,0.0,10
61597902,0.15,0.0,0.0,0.0,0.01,0.16,0.0,0.27,0.22,0.02,0.02,0.0,0.0,0.03,0.12,7
61611859,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.26,0.0,0.0,0.35,0.04,0.0,0.02,0.0,10
61693441,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.09,5
61710161,0.11,0.06,0.0,0.0,0.0,0.09,0.0,0.34,0.0,0.12,0.0,0.06,0.0,0.0,0.22,7
61722171,0.01,0.0,0.0,0.0,0.0,0.43,0.0,0.15,0.1,0.03,0.0,0.0,0.01,0.05,0.22,5
66071605,0.16,0.0,0.0,0.0,0.0,0.04,0.01,0.28,0.0,0.0,0.0,0.01,0.4,0.09,0.0,12
112247307,0.19,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.19,0.02,0.23,0.0,0.0,0.04,0.2,10
112494808,0.02,0.06,0.0,0.0,0.0,0.14,0.0,0.31,0.04,0.1,0.04,0.03,0.04,0.14,0.08,7
112495601,0.06,0.0,0.0,0.0,0.01,0.14,0.0,0.27,0.07,0.0,0.01,0.0,0.0,0.07,0.36,14
112622003,0.2,0.0,0.0,0.0,0.0,0.21,0.0,0.06,0.13,0.08,0.06,0.0,0.0,0.11,0.14,5
112656357,0.01,0.0,0.0,0.0,0.14,0.29,0.0,0.07,0.07,0.0,0.07,0.12,0.0,0.0,0.22,5
